"Town","FIPS","Year","Measure Type","Variable","Value"
"Southington","0900370550","2008-2012","Crude Rate (per 100,000)","Deaths",7.43
"Southington","0900370550","2008-2012","Number","Deaths",16
"Southington","0900370550","2010-2014","AAMR (per 100,000)","Deaths",8.6
"Southington","0900370550","2010-2014","Crude Rate (per 100,000)","Deaths",8.29
"Southington","0900370550","2010-2014","Number","Deaths",18
"South Windsor","0900371390","2006-2010","AAMR (per 100,000)","Deaths",-6666
"South Windsor","0900371390","2006-2010","Crude Rate (per 100,000)","Deaths",6.28
"South Windsor","0900371390","2006-2010","Number","Deaths",8
"South Windsor","0900371390","2007-2011","AAMR (per 100,000)","Deaths",-6666
"South Windsor","0900371390","2007-2011","Crude Rate (per 100,000)","Deaths",7.04
"South Windsor","0900371390","2007-2011","Number","Deaths",9
"South Windsor","0900371390","2008-2012","AAMR (per 100,000)","Deaths",-6666
"South Windsor","0900371390","2008-2012","Crude Rate (per 100,000)","Deaths",7.78
"South Windsor","0900371390","2008-2012","Number","Deaths",10
"South Windsor","0900371390","2010-2014","AAMR (per 100,000)","Deaths",-6666
"South Windsor","0900371390","2010-2014","Crude Rate (per 100,000)","Deaths",8.53
"South Windsor","0900371390","2010-2014","Number","Deaths",11
"Sprague","0901171670","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Sprague","0901171670","2006-2010","Crude Rate (per 100,000)","Deaths",20.07
"Sprague","0901171670","2006-2010","Number","Deaths",3
"Sprague","0901171670","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Sprague","0901171670","2007-2011","Crude Rate (per 100,000)","Deaths",20.11
"Sprague","0901171670","2007-2011","Number","Deaths",3
"Sprague","0901171670","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Sprague","0901171670","2008-2012","Crude Rate (per 100,000)","Deaths",-6666
"Sprague","0901171670","2008-2012","Number","Deaths",-6666
"Sprague","0901171670","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Sprague","0901171670","2010-2014","Crude Rate (per 100,000)","Deaths",-6666
"Sprague","0901171670","2010-2014","Number","Deaths",-6666
"Stafford","0901372090","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Stafford","0901372090","2006-2010","Crude Rate (per 100,000)","Deaths",6.64
"Stafford","0901372090","2006-2010","Number","Deaths",4
"Stafford","0901372090","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Stafford","0901372090","2007-2011","Crude Rate (per 100,000)","Deaths",9.95
"Stafford","0901372090","2007-2011","Number","Deaths",6
"Stafford","0901372090","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Stafford","0901372090","2008-2012","Crude Rate (per 100,000)","Deaths",13.23
"Stafford","0901372090","2008-2012","Number","Deaths",8
"Stafford","0901372090","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Stafford","0901372090","2010-2014","Crude Rate (per 100,000)","Deaths",13.35
"Stafford","0901372090","2010-2014","Number","Deaths",8
"Stamford","0900173070","2006-2010","AAMR (per 100,000)","Deaths",7.06
"Stamford","0900173070","2006-2010","Crude Rate (per 100,000)","Deaths",6.95
"Stamford","0900173070","2006-2010","Number","Deaths",42
"Stamford","0900173070","2007-2011","AAMR (per 100,000)","Deaths",6.9
"Stamford","0900173070","2007-2011","Crude Rate (per 100,000)","Deaths",6.9
"Stamford","0900173070","2007-2011","Number","Deaths",42
"Stamford","0900173070","2008-2012","AAMR (per 100,000)","Deaths",7.38
"Stamford","0900173070","2008-2012","Crude Rate (per 100,000)","Deaths",7.33
"Stamford","0900173070","2008-2012","Number","Deaths",45
"Stamford","0900173070","2010-2014","AAMR (per 100,000)","Deaths",7.15
"Stamford","0900173070","2010-2014","Crude Rate (per 100,000)","Deaths",7.18
"Stamford","0900173070","2010-2014","Number","Deaths",45
"Sterling","0901573420","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Sterling","0901573420","2006-2010","Crude Rate (per 100,000)","Deaths",10.73
"Sterling","0901573420","2006-2010","Number","Deaths",2
"Sterling","0901573420","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Sterling","0901573420","2007-2011","Crude Rate (per 100,000)","Deaths",5.31
"Sterling","0901573420","2007-2011","Number","Deaths",1
"Sterling","0901573420","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Sterling","0901573420","2008-2012","Crude Rate (per 100,000)","Deaths",10.44
"Sterling","0901573420","2008-2012","Number","Deaths",2
"Sterling","0901573420","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Sterling","0901573420","2010-2014","Crude Rate (per 100,000)","Deaths",15.78
"Sterling","0901573420","2010-2014","Number","Deaths",3
"Stonington","0901173770","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Stonington","0901173770","2006-2010","Crude Rate (per 100,000)","Deaths",10.81
"Stonington","0901173770","2006-2010","Number","Deaths",10
"Stonington","0901173770","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Stonington","0901173770","2007-2011","Crude Rate (per 100,000)","Deaths",14.07
"Stonington","0901173770","2007-2011","Number","Deaths",13
"Stonington","0901173770","2008-2012","AAMR (per 100,000)","Deaths",15.03
"Stonington","0901173770","2008-2012","Crude Rate (per 100,000)","Deaths",16.18
"Stonington","0901173770","2008-2012","Number","Deaths",15
"Stonington","0901173770","2010-2014","AAMR (per 100,000)","Deaths",16.1
"Stonington","0901173770","2010-2014","Crude Rate (per 100,000)","Deaths",18.34
"Stonington","0901173770","2010-2014","Number","Deaths",17
"Stratford","0900174190","2006-2010","AAMR (per 100,000)","Deaths",8.16
"Stratford","0900174190","2006-2010","Crude Rate (per 100,000)","Deaths",8.26
"Stratford","0900174190","2006-2010","Number","Deaths",21
"Stratford","0900174190","2007-2011","AAMR (per 100,000)","Deaths",9.01
"Stratford","0900174190","2007-2011","Crude Rate (per 100,000)","Deaths",9.39
"Stratford","0900174190","2007-2011","Number","Deaths",24
"Stratford","0900174190","2008-2012","AAMR (per 100,000)","Deaths",9.76
"Stratford","0900174190","2008-2012","Crude Rate (per 100,000)","Deaths",10.1
"Stratford","0900174190","2008-2012","Number","Deaths",26
"Stratford","0900174190","2010-2014","AAMR (per 100,000)","Deaths",8.66
"Stratford","0900174190","2010-2014","Crude Rate (per 100,000)","Deaths",8.84
"Stratford","0900174190","2010-2014","Number","Deaths",23
"Suffield","0900374540","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Suffield","0900374540","2006-2010","Crude Rate (per 100,000)","Deaths",5.21
"Suffield","0900374540","2006-2010","Number","Deaths",4
"Suffield","0900374540","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Suffield","0900374540","2007-2011","Crude Rate (per 100,000)","Deaths",7.74
"Suffield","0900374540","2007-2011","Number","Deaths",6
"Suffield","0900374540","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Suffield","0900374540","2008-2012","Crude Rate (per 100,000)","Deaths",8.9
"Suffield","0900374540","2008-2012","Number","Deaths",7
"Suffield","0900374540","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Suffield","0900374540","2010-2014","Crude Rate (per 100,000)","Deaths",8.87
"Suffield","0900374540","2010-2014","Number","Deaths",7
"Thomaston","0900575730","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Thomaston","0900575730","2006-2010","Crude Rate (per 100,000)","Deaths",10.16
"Thomaston","0900575730","2006-2010","Number","Deaths",4
"Thomaston","0900575730","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Thomaston","0900575730","2007-2011","Crude Rate (per 100,000)","Deaths",15.26
"Thomaston","0900575730","2007-2011","Number","Deaths",6
"Thomaston","0900575730","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Thomaston","0900575730","2008-2012","Crude Rate (per 100,000)","Deaths",17.77
"Thomaston","0900575730","2008-2012","Number","Deaths",7
"Thomaston","0900575730","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Thomaston","0900575730","2010-2014","Crude Rate (per 100,000)","Deaths",17.97
"Thomaston","0900575730","2010-2014","Number","Deaths",7
"Thompson","0901575870","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Thompson","0901575870","2006-2010","Crude Rate (per 100,000)","Deaths",6.36
"Thompson","0901575870","2006-2010","Number","Deaths",3
"Thompson","0901575870","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Thompson","0901575870","2007-2011","Crude Rate (per 100,000)","Deaths",6.35
"Thompson","0901575870","2007-2011","Number","Deaths",3
"Thompson","0901575870","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Thompson","0901575870","2008-2012","Crude Rate (per 100,000)","Deaths",6.34
"Thompson","0901575870","2008-2012","Number","Deaths",3
"Thompson","0901575870","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Thompson","0901575870","2010-2014","Crude Rate (per 100,000)","Deaths",10.65
"Thompson","0901575870","2010-2014","Number","Deaths",5
"Tolland","0901376290","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Tolland","0901376290","2006-2010","Crude Rate (per 100,000)","Deaths",9.45
"Tolland","0901376290","2006-2010","Number","Deaths",7
"Tolland","0901376290","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Tolland","0901376290","2007-2011","Crude Rate (per 100,000)","Deaths",5.36
"Tolland","0901376290","2007-2011","Number","Deaths",4
"Tolland","0901376290","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Tolland","0901376290","2008-2012","Crude Rate (per 100,000)","Deaths",7.97
"Tolland","0901376290","2008-2012","Number","Deaths",6
"Tolland","0901376290","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Tolland","0901376290","2010-2014","Crude Rate (per 100,000)","Deaths",8.02
"Tolland","0901376290","2010-2014","Number","Deaths",6
"Torrington","0900576570","2006-2010","AAMR (per 100,000)","Deaths",10.08
"Torrington","0900576570","2006-2010","Crude Rate (per 100,000)","Deaths",10.98
"Torrington","0900576570","2006-2010","Number","Deaths",20
"Torrington","0900576570","2007-2011","AAMR (per 100,000)","Deaths",12.84
"Torrington","0900576570","2007-2011","Crude Rate (per 100,000)","Deaths",13.74
"Torrington","0900576570","2007-2011","Number","Deaths",25
"Torrington","0900576570","2008-2012","AAMR (per 100,000)","Deaths",13.14
"Torrington","0900576570","2008-2012","Crude Rate (per 100,000)","Deaths",13.76
"Torrington","0900576570","2008-2012","Number","Deaths",25
"Torrington","0900576570","2010-2014","AAMR (per 100,000)","Deaths",14.94
"Torrington","0900576570","2010-2014","Crude Rate (per 100,000)","Deaths",17.87
"Torrington","0900576570","2010-2014","Number","Deaths",32
"Trumbull","0900177200","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Trumbull","0900177200","2006-2010","Crude Rate (per 100,000)","Deaths",3.38
"Trumbull","0900177200","2006-2010","Number","Deaths",6
"Trumbull","0900177200","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Trumbull","0900177200","2007-2011","Crude Rate (per 100,000)","Deaths",2.8
"Trumbull","0900177200","2007-2011","Number","Deaths",5
"Trumbull","0900177200","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Trumbull","0900177200","2008-2012","Crude Rate (per 100,000)","Deaths",2.77
"Trumbull","0900177200","2008-2012","Number","Deaths",5
"Trumbull","0900177200","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Trumbull","0900177200","2010-2014","Crude Rate (per 100,000)","Deaths",6.04
"Trumbull","0900177200","2010-2014","Number","Deaths",11
"Union","0901377830","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Union","0901377830","2006-2010","Crude Rate (per 100,000)","Deaths",-6666
"Union","0901377830","2006-2010","Number","Deaths",-6666
"Union","0901377830","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Union","0901377830","2007-2011","Crude Rate (per 100,000)","Deaths",-6666
"Union","0901377830","2007-2011","Number","Deaths",-6666
"Union","0901377830","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Union","0901377830","2008-2012","Crude Rate (per 100,000)","Deaths",-6666
"Union","0901377830","2008-2012","Number","Deaths",-6666
"Union","0901377830","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Union","0901377830","2010-2014","Crude Rate (per 100,000)","Deaths",-6666
"Union","0901377830","2010-2014","Number","Deaths",-6666
"Vernon","0901378250","2006-2010","AAMR (per 100,000)","Deaths",9.96
"Vernon","0901378250","2006-2010","Crude Rate (per 100,000)","Deaths",10.96
"Vernon","0901378250","2006-2010","Number","Deaths",16
"Vernon","0901378250","2007-2011","AAMR (per 100,000)","Deaths",11.13
"Vernon","0901378250","2007-2011","Crude Rate (per 100,000)","Deaths",11.64
"Vernon","0901378250","2007-2011","Number","Deaths",17
"Vernon","0901378250","2008-2012","AAMR (per 100,000)","Deaths",11.3
"Vernon","0901378250","2008-2012","Crude Rate (per 100,000)","Deaths",13.02
"Vernon","0901378250","2008-2012","Number","Deaths",19
"Vernon","0901378250","2010-2014","AAMR (per 100,000)","Deaths",9.79
"Vernon","0901378250","2010-2014","Crude Rate (per 100,000)","Deaths",11.67
"Vernon","0901378250","2010-2014","Number","Deaths",17
"Voluntown","0901178600","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Voluntown","0901178600","2006-2010","Crude Rate (per 100,000)","Deaths",7.68
"Voluntown","0901178600","2006-2010","Number","Deaths",1
"Voluntown","0901178600","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Voluntown","0901178600","2007-2011","Crude Rate (per 100,000)","Deaths",7.68
"Voluntown","0901178600","2007-2011","Number","Deaths",1
"Voluntown","0901178600","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Voluntown","0901178600","2008-2012","Crude Rate (per 100,000)","Deaths",7.69
"Voluntown","0901178600","2008-2012","Number","Deaths",1
"Voluntown","0901178600","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Voluntown","0901178600","2010-2014","Crude Rate (per 100,000)","Deaths",15.38
"Voluntown","0901178600","2010-2014","Number","Deaths",2
"Wallingford","0900978740","2006-2010","AAMR (per 100,000)","Deaths",6.52
"Wallingford","0900978740","2006-2010","Crude Rate (per 100,000)","Deaths",6.7
"Wallingford","0900978740","2006-2010","Number","Deaths",15
"Wallingford","0900978740","2007-2011","AAMR (per 100,000)","Deaths",8.31
"Wallingford","0900978740","2007-2011","Crude Rate (per 100,000)","Deaths",8.46
"Wallingford","0900978740","2007-2011","Number","Deaths",19
"Wallingford","0900978740","2008-2012","AAMR (per 100,000)","Deaths",7.91
"Wallingford","0900978740","2008-2012","Crude Rate (per 100,000)","Deaths",7.98
"Wallingford","0900978740","2008-2012","Number","Deaths",18
"Wallingford","0900978740","2010-2014","AAMR (per 100,000)","Deaths",10.55
"Wallingford","0900978740","2010-2014","Crude Rate (per 100,000)","Deaths",11.08
"Wallingford","0900978740","2010-2014","Number","Deaths",25
"Warren","0900579510","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Warren","0900579510","2006-2010","Crude Rate (per 100,000)","Deaths",27.03
"Warren","0900579510","2006-2010","Number","Deaths",2
"Warren","0900579510","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Warren","0900579510","2007-2011","Crude Rate (per 100,000)","Deaths",52.25
"Warren","0900579510","2007-2011","Number","Deaths",4
"Warren","0900579510","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Warren","0900579510","2008-2012","Crude Rate (per 100,000)","Deaths",41.1
"Warren","0900579510","2008-2012","Number","Deaths",3
"Warren","0900579510","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Warren","0900579510","2010-2014","Crude Rate (per 100,000)","Deaths",27.66
"Warren","0900579510","2010-2014","Number","Deaths",2
"Washington","0900579720","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Washington","0900579720","2006-2010","Crude Rate (per 100,000)","Deaths",11.04
"Washington","0900579720","2006-2010","Number","Deaths",2
"Washington","0900579720","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Washington","0900579720","2007-2011","Crude Rate (per 100,000)","Deaths",11.15
"Washington","0900579720","2007-2011","Number","Deaths",2
"Washington","0900579720","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Washington","0900579720","2008-2012","Crude Rate (per 100,000)","Deaths",5.6
"Washington","0900579720","2008-2012","Number","Deaths",1
"Washington","0900579720","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Washington","0900579720","2010-2014","Crude Rate (per 100,000)","Deaths",11.32
"Washington","0900579720","2010-2014","Number","Deaths",2
"Waterbury","0900980070","2006-2010","AAMR (per 100,000)","Deaths",7.4
"Waterbury","0900980070","2006-2010","Crude Rate (per 100,000)","Deaths",7.09
"Waterbury","0900980070","2006-2010","Number","Deaths",39
"Waterbury","0900980070","2007-2011","AAMR (per 100,000)","Deaths",7.22
"Waterbury","0900980070","2007-2011","Crude Rate (per 100,000)","Deaths",7.09
"Waterbury","0900980070","2007-2011","Number","Deaths",39
"Waterbury","0900980070","2008-2012","AAMR (per 100,000)","Deaths",6.89
"Waterbury","0900980070","2008-2012","Crude Rate (per 100,000)","Deaths",6.89
"Waterbury","0900980070","2008-2012","Number","Deaths",38
"Waterbury","0900980070","2010-2014","AAMR (per 100,000)","Deaths",7.59
"Waterbury","0900980070","2010-2014","Crude Rate (per 100,000)","Deaths",7.83
"Waterbury","0900980070","2010-2014","Number","Deaths",43
"Waterford","0901180280","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Waterford","0901180280","2006-2010","Crude Rate (per 100,000)","Deaths",14.41
"Waterford","0901180280","2006-2010","Number","Deaths",14
"Waterford","0901180280","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Waterford","0901180280","2007-2011","Crude Rate (per 100,000)","Deaths",11.31
"Waterford","0901180280","2007-2011","Number","Deaths",11
"Waterford","0901180280","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Waterford","0901180280","2008-2012","Crude Rate (per 100,000)","Deaths",13.32
"Waterford","0901180280","2008-2012","Number","Deaths",13
"Waterford","0901180280","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Waterford","0901180280","2010-2014","Crude Rate (per 100,000)","Deaths",12.31
"Waterford","0901180280","2010-2014","Number","Deaths",12
"Watertown","0900580490","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Watertown","0900580490","2006-2010","Crude Rate (per 100,000)","Deaths",9.77
"Watertown","0900580490","2006-2010","Number","Deaths",11
"Watertown","0900580490","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Watertown","0900580490","2007-2011","Crude Rate (per 100,000)","Deaths",11.55
"Watertown","0900580490","2007-2011","Number","Deaths",13
"Watertown","0900580490","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Watertown","0900580490","2008-2012","Crude Rate (per 100,000)","Deaths",12.45
"Watertown","0900580490","2008-2012","Number","Deaths",14
"Watertown","0900580490","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Watertown","0900580490","2010-2014","Crude Rate (per 100,000)","Deaths",11.67
"Watertown","0900580490","2010-2014","Number","Deaths",13
"Westbrook","0900781680","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Westbrook","0900781680","2006-2010","Crude Rate (per 100,000)","Deaths",-6666
"Westbrook","0900781680","2006-2010","Number","Deaths",-6666
"Westbrook","0900781680","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Westbrook","0900781680","2007-2011","Crude Rate (per 100,000)","Deaths",2.9
"Westbrook","0900781680","2007-2011","Number","Deaths",1
"Westbrook","0900781680","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Westbrook","0900781680","2008-2012","Crude Rate (per 100,000)","Deaths",2.88
"Westbrook","0900781680","2008-2012","Number","Deaths",1
"Westbrook","0900781680","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Westbrook","0900781680","2010-2014","Crude Rate (per 100,000)","Deaths",2.89
"Westbrook","0900781680","2010-2014","Number","Deaths",1
"West Hartford","0900382590","2006-2010","AAMR (per 100,000)","Deaths",5.94
"West Hartford","0900382590","2006-2010","Crude Rate (per 100,000)","Deaths",6.36
"West Hartford","0900382590","2006-2010","Number","Deaths",20
"West Hartford","0900382590","2007-2011","AAMR (per 100,000)","Deaths",6.96
"West Hartford","0900382590","2007-2011","Crude Rate (per 100,000)","Deaths",7.61
"West Hartford","0900382590","2007-2011","Number","Deaths",24
"West Hartford","0900382590","2008-2012","AAMR (per 100,000)","Deaths",7.77
"West Hartford","0900382590","2008-2012","Crude Rate (per 100,000)","Deaths",8.22
"West Hartford","0900382590","2008-2012","Number","Deaths",26
"West Hartford","0900382590","2010-2014","AAMR (per 100,000)","Deaths",5.51
"West Hartford","0900382590","2010-2014","Crude Rate (per 100,000)","Deaths",5.69
"West Hartford","0900382590","2010-2014","Number","Deaths",18
"West Haven","0900982870","2006-2010","AAMR (per 100,000)","Deaths",-6666
"West Haven","0900982870","2006-2010","Crude Rate (per 100,000)","Deaths",4.72
"West Haven","0900982870","2006-2010","Number","Deaths",13
"West Haven","0900982870","2007-2011","AAMR (per 100,000)","Deaths",5.6
"West Haven","0900982870","2007-2011","Crude Rate (per 100,000)","Deaths",5.79
"West Haven","0900982870","2007-2011","Number","Deaths",16
"West Haven","0900982870","2008-2012","AAMR (per 100,000)","Deaths",5.28
"West Haven","0900982870","2008-2012","Crude Rate (per 100,000)","Deaths",5.76
"West Haven","0900982870","2008-2012","Number","Deaths",16
"West Haven","0900982870","2010-2014","AAMR (per 100,000)","Deaths",8.18
"West Haven","0900982870","2010-2014","Crude Rate (per 100,000)","Deaths",8.68
"West Haven","0900982870","2010-2014","Number","Deaths",24
"Weston","0900183430","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Weston","0900183430","2006-2010","Crude Rate (per 100,000)","Deaths",5.95
"Weston","0900183430","2006-2010","Number","Deaths",3
"Weston","0900183430","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Weston","0900183430","2007-2011","Crude Rate (per 100,000)","Deaths",5.92
"Weston","0900183430","2007-2011","Number","Deaths",3
"Weston","0900183430","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Weston","0900183430","2008-2012","Crude Rate (per 100,000)","Deaths",5.88
"Weston","0900183430","2008-2012","Number","Deaths",3
"Weston","0900183430","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Weston","0900183430","2010-2014","Crude Rate (per 100,000)","Deaths",7.75
"Weston","0900183430","2010-2014","Number","Deaths",4
"Westport","0900183500","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Westport","0900183500","2006-2010","Crude Rate (per 100,000)","Deaths",7.66
"Westport","0900183500","2006-2010","Number","Deaths",10
"Westport","0900183500","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Westport","0900183500","2007-2011","Crude Rate (per 100,000)","Deaths",7.62
"Westport","0900183500","2007-2011","Number","Deaths",10
"Westport","0900183500","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Westport","0900183500","2008-2012","Crude Rate (per 100,000)","Deaths",6.05
"Westport","0900183500","2008-2012","Number","Deaths",8
"Westport","0900183500","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Westport","0900183500","2010-2014","Crude Rate (per 100,000)","Deaths",5.92
"Westport","0900183500","2010-2014","Number","Deaths",8
"Wethersfield","0900384900","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Wethersfield","0900384900","2006-2010","Crude Rate (per 100,000)","Deaths",3.76
"Wethersfield","0900384900","2006-2010","Number","Deaths",5
"Wethersfield","0900384900","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Wethersfield","0900384900","2007-2011","Crude Rate (per 100,000)","Deaths",5.26
"Wethersfield","0900384900","2007-2011","Number","Deaths",7
"Wethersfield","0900384900","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Wethersfield","0900384900","2008-2012","Crude Rate (per 100,000)","Deaths",7.5
"Wethersfield","0900384900","2008-2012","Number","Deaths",10
"Wethersfield","0900384900","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Wethersfield","0900384900","2010-2014","Crude Rate (per 100,000)","Deaths",10.52
"Wethersfield","0900384900","2010-2014","Number","Deaths",14
"Willington","0901385950","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Willington","0901385950","2006-2010","Crude Rate (per 100,000)","Deaths",19.78
"Willington","0901385950","2006-2010","Number","Deaths",6
"Willington","0901385950","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Willington","0901385950","2007-2011","Crude Rate (per 100,000)","Deaths",19.77
"Willington","0901385950","2007-2011","Number","Deaths",6
"Willington","0901385950","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Willington","0901385950","2008-2012","Crude Rate (per 100,000)","Deaths",23.17
"Willington","0901385950","2008-2012","Number","Deaths",7
"Willington","0901385950","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Willington","0901385950","2010-2014","Crude Rate (per 100,000)","Deaths",10.01
"Willington","0901385950","2010-2014","Number","Deaths",3
"Wilton","0900186370","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Wilton","0900186370","2006-2010","Crude Rate (per 100,000)","Deaths",7.83
"Wilton","0900186370","2006-2010","Number","Deaths",7
"Wilton","0900186370","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Wilton","0900186370","2007-2011","Crude Rate (per 100,000)","Deaths",6.68
"Wilton","0900186370","2007-2011","Number","Deaths",6
"Wilton","0900186370","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Wilton","0900186370","2008-2012","Crude Rate (per 100,000)","Deaths",6.63
"Wilton","0900186370","2008-2012","Number","Deaths",6
"Wilton","0900186370","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Wilton","0900186370","2010-2014","Crude Rate (per 100,000)","Deaths",11.92
"Wilton","0900186370","2010-2014","Number","Deaths",11
"Winchester","0900586440","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Winchester","0900586440","2006-2010","Crude Rate (per 100,000)","Deaths",19.61
"Winchester","0900586440","2006-2010","Number","Deaths",11
"Winchester","0900586440","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Winchester","0900586440","2007-2011","Crude Rate (per 100,000)","Deaths",21.4
"Winchester","0900586440","2007-2011","Number","Deaths",12
"Winchester","0900586440","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Winchester","0900586440","2008-2012","Crude Rate (per 100,000)","Deaths",19.59
"Winchester","0900586440","2008-2012","Number","Deaths",11
"Winchester","0900586440","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Winchester","0900586440","2010-2014","Crude Rate (per 100,000)","Deaths",10.83
"Winchester","0900586440","2010-2014","Number","Deaths",6
"Windham","0901586790","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Windham","0901586790","2006-2010","Crude Rate (per 100,000)","Deaths",4.79
"Windham","0901586790","2006-2010","Number","Deaths",6
"Windham","0901586790","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Windham","0901586790","2007-2011","Crude Rate (per 100,000)","Deaths",7.96
"Windham","0901586790","2007-2011","Number","Deaths",10
"Windham","0901586790","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Windham","0901586790","2008-2012","Crude Rate (per 100,000)","Deaths",8.7
"Windham","0901586790","2008-2012","Number","Deaths",11
"Windham","0901586790","2010-2014","AAMR (per 100,000)","Deaths",12.81
"Windham","0901586790","2010-2014","Crude Rate (per 100,000)","Deaths",11.93
"Windham","0901586790","2010-2014","Number","Deaths",15
"Windsor","0900387000","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Windsor","0900387000","2006-2010","Crude Rate (per 100,000)","Deaths",6.91
"Windsor","0900387000","2006-2010","Number","Deaths",10
"Windsor","0900387000","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Windsor","0900387000","2007-2011","Crude Rate (per 100,000)","Deaths",6.91
"Windsor","0900387000","2007-2011","Number","Deaths",10
"Windsor","0900387000","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Windsor","0900387000","2008-2012","Crude Rate (per 100,000)","Deaths",8.26
"Windsor","0900387000","2008-2012","Number","Deaths",12
